user_id,material_id,event_type,relevance_score,timestamp,date,device,session_id,position_in_results
user_000869,mat_002540,showMaterialPreview,3.3035,2025-05-15 10:29:35.216071,2025-05-15,mobile,session_000722,12.0
user_000967,mat_002866,purchase,8.5968,2025-04-20 10:29:35.222166,2025-04-20,mobile,session_099832,
user_000625,mat_004212,addToCart,9.5183,2025-05-21 10:29:35.226925,2025-05-21,desktop,session_077837,
user_000559,mat_001709,showMaterialPreview,2.9943,2025-06-24 10:29:35.232513,2025-06-24,mobile,session_046198,4.0
user_000602,mat_001930,addToCart,6.3297,2025-05-09 10:29:35.235211,2025-05-09,mobile,session_040988,
user_000413,mat_004201,addToCart,5.0515,2025-06-09 10:29:35.239446,2025-06-09,desktop,session_065166,
user_000097,mat_002592,viewMaterial,1.4207,2025-06-21 10:29:35.243600,2025-06-21,desktop,session_057430,7.0
user_000594,mat_000225,addToCart,7.2326,2025-04-18 10:29:35.247701,2025-04-18,mobile,session_059699,
user_000576,mat_003292,viewMaterial,1.4366,2025-06-22 10:29:35.247953,2025-06-22,desktop,session_008367,10.0
user_000888,mat_003048,addToCart,5.8952,2025-06-22 10:29:35.248169,2025-06-22,desktop,session_012131,
user_000408,mat_003400,viewMaterial,1.0888,2025-07-10 10:29:35.248385,2025-07-10,mobile,session_024348,8.0
user_000149,mat_004488,showMaterialPreview,3.4643,2025-05-08 10:29:35.250995,2025-05-08,desktop,session_096597,13.0
user_000976,mat_004025,purchase,10.7504,2025-06-26 10:29:35.253288,2025-06-26,mobile,session_076947,
user_000223,mat_004431,purchase,9.8886,2025-05-09 10:29:35.256936,2025-05-09,desktop,session_073917,
user_000555,mat_002370,addToFavorites,6.051,2025-06-04 10:29:35.261405,2025-06-04,mobile,session_097097,
user_000785,mat_000009,showMaterialPreview,2.0675,2025-06-13 10:29:35.261745,2025-06-13,mobile,session_096322,19.0
user_000611,mat_000017,showMaterialPreview,2.3097,2025-06-27 10:29:35.262166,2025-06-27,desktop,session_046810,10.0
user_000220,mat_001925,addToFavorites,6.2986,2025-07-13 10:29:35.262478,2025-07-13,desktop,session_005609,
user_000640,mat_001884,showMaterialPreview,2.1608,2025-05-22 10:29:35.268937,2025-05-22,tablet,session_030822,16.0
user_000008,mat_003395,viewMaterial,1.6447,2025-06-17 10:29:35.272806,2025-06-17,desktop,session_060677,19.0
user_000181,mat_001084,addToFavorites,6.3524,2025-06-11 10:29:35.274973,2025-06-11,desktop,session_096513,
user_000375,mat_004783,addToCart,7.2147,2025-05-03 10:29:35.280427,2025-05-03,tablet,session_024109,
user_000481,mat_002539,showMaterialPreview,2.6272,2025-06-11 10:29:35.282752,2025-06-11,desktop,session_003250,8.0
user_000085,mat_003689,showMaterialPreview,3.2135,2025-07-05 10:29:35.284813,2025-07-05,mobile,session_007649,3.0
user_000334,mat_004262,viewMaterial,1.0308,2025-06-05 10:29:35.285031,2025-06-05,mobile,session_020134,12.0
user_000265,mat_000497,addToCart,6.2625,2025-07-13 10:29:35.290575,2025-07-13,desktop,session_077607,
user_000207,mat_001912,showMaterialPreview,3.4365,2025-05-29 10:29:35.297926,2025-05-29,desktop,session_017927,3.0
user_000826,mat_003563,showMaterialPreview,4.4811,2025-04-18 10:29:35.301819,2025-04-18,mobile,session_077247,5.0
user_000178,mat_002800,viewMaterial,1.6124,2025-05-09 10:29:35.307374,2025-05-09,desktop,session_083130,1.0
user_000474,mat_004072,showMaterialPreview,3.1976,2025-06-28 10:29:35.315049,2025-06-28,desktop,session_021076,10.0
user_000150,mat_003498,purchase,6.6106,2025-05-26 10:29:35.321152,2025-05-26,mobile,session_019341,
user_000945,mat_001588,showMaterialPreview,2.6092,2025-04-17 10:29:35.321377,2025-04-17,desktop,session_092523,1.0
user_000852,mat_001944,addToCart,8.0156,2025-05-12 10:29:35.328364,2025-05-12,desktop,session_034804,
user_000913,mat_002642,viewMaterial,2.1644,2025-05-25 10:29:35.332023,2025-05-25,desktop,session_057513,19.0
user_000628,mat_003277,viewMaterial,1.4466,2025-05-16 10:29:35.332275,2025-05-16,desktop,session_006995,1.0
user_000604,mat_001370,viewMaterial,2.1774,2025-06-23 10:29:35.334747,2025-06-23,desktop,session_062941,5.0
user_000156,mat_001887,addToFavorites,6.2449,2025-04-29 10:29:35.340298,2025-04-29,mobile,session_020654,
user_000748,mat_003745,viewMaterial,2.6571,2025-06-08 10:29:35.345852,2025-06-08,desktop,session_090642,15.0
user_000296,mat_001204,showMaterialPreview,2.3433,2025-04-29 10:29:35.346095,2025-04-29,desktop,session_097417,11.0
user_000425,mat_000683,showMaterialPreview,2.1977,2025-06-04 10:29:35.346300,2025-06-04,mobile,session_010554,1.0
user_000742,mat_003320,showMaterialPreview,3.3028,2025-06-27 10:29:35.350326,2025-06-27,desktop,session_016469,20.0
user_000356,mat_003795,viewMaterial,1.8451,2025-06-23 10:29:35.354107,2025-06-23,desktop,session_071180,16.0
user_000782,mat_002052,addToFavorites,4.3843,2025-07-12 10:29:35.358614,2025-07-12,mobile,session_040916,
user_000180,mat_001609,purchase,7.9507,2025-05-17 10:29:35.363840,2025-05-17,mobile,session_087740,
user_000645,mat_004131,showMaterialPreview,2.6531,2025-06-16 10:29:35.369681,2025-06-16,mobile,session_002692,14.0
user_000206,mat_002396,viewMaterial,1.269,2025-06-24 10:29:35.375166,2025-06-24,desktop,session_080567,14.0
user_000257,mat_000130,showMaterialPreview,2.8429,2025-06-15 10:29:35.375413,2025-06-15,desktop,session_022799,13.0
user_000365,mat_002162,showMaterialPreview,2.4992,2025-04-29 10:29:35.375637,2025-04-29,desktop,session_087335,15.0
user_000649,mat_003529,showMaterialPreview,2.1974,2025-04-19 10:29:35.375853,2025-04-19,desktop,session_026084,4.0
user_000357,mat_002275,addToCart,5.5523,2025-04-23 10:29:35.379673,2025-04-23,mobile,session_029778,
user_000243,mat_001082,purchase,5.5353,2025-06-29 10:29:35.379992,2025-06-29,desktop,session_096178,
user_000974,mat_002275,viewMaterial,0.9967,2025-05-27 10:29:35.380242,2025-05-27,tablet,session_063959,16.0
user_000226,mat_003810,viewMaterial,1.1446,2025-05-09 10:29:35.380464,2025-05-09,desktop,session_033945,17.0
user_000053,mat_002475,viewMaterial,1.6649,2025-06-18 10:29:35.385830,2025-06-18,mobile,session_026535,16.0
user_000440,mat_000701,viewMaterial,0.8586,2025-06-28 10:29:35.386058,2025-06-28,mobile,session_054177,1.0
user_000992,mat_000713,addToFavorites,5.6995,2025-06-09 10:29:35.389657,2025-06-09,mobile,session_099764,
user_000011,mat_000984,addToCart,6.9214,2025-04-20 10:29:35.395953,2025-04-20,mobile,session_013151,
user_000455,mat_002038,showMaterialPreview,3.0884,2025-06-20 10:29:35.400321,2025-06-20,desktop,session_021776,17.0
user_000924,mat_004793,addToFavorites,7.0571,2025-05-06 10:29:35.404212,2025-05-06,desktop,session_071865,
user_000966,mat_002861,purchase,8.3224,2025-05-18 10:29:35.408153,2025-05-18,desktop,session_089745,
user_000743,mat_004889,showMaterialPreview,3.379,2025-04-24 10:29:35.413232,2025-04-24,desktop,session_059943,20.0
user_000082,mat_004675,viewMaterial,1.0156,2025-04-23 10:29:35.413447,2025-04-23,desktop,session_049051,20.0
user_000656,mat_002360,showMaterialPreview,3.0786,2025-05-27 10:29:35.416981,2025-05-27,mobile,session_097562,16.0
user_000707,mat_001217,addToFavorites,5.2536,2025-05-15 10:29:35.417232,2025-05-15,desktop,session_073368,
user_000287,mat_000968,addToFavorites,3.4789,2025-07-06 10:29:35.422135,2025-07-06,mobile,session_058913,
user_000794,mat_001613,viewMaterial,1.335,2025-04-22 10:29:35.422336,2025-04-22,mobile,session_074621,7.0
user_000044,mat_003465,addToCart,4.7319,2025-05-11 10:29:35.422548,2025-05-11,desktop,session_007204,
user_000625,mat_002444,purchase,8.5501,2025-07-09 10:29:35.422749,2025-07-09,desktop,session_045678,
user_000070,mat_003545,viewMaterial,1.2103,2025-05-27 10:29:35.422949,2025-05-27,mobile,session_022700,10.0
user_000947,mat_002665,viewMaterial,1.6016,2025-05-15 10:29:35.423141,2025-05-15,desktop,session_002001,12.0
user_000179,mat_004577,showMaterialPreview,3.2502,2025-05-20 10:29:35.423335,2025-05-20,desktop,session_073193,16.0
user_000515,mat_003152,addToCart,4.2137,2025-05-19 10:29:35.423542,2025-05-19,desktop,session_075830,
user_000245,mat_002349,addToCart,6.3544,2025-05-31 10:29:35.425579,2025-05-31,desktop,session_053982,
user_000437,mat_004888,purchase,7.7551,2025-06-13 10:29:35.425787,2025-06-13,desktop,session_010342,
user_000094,mat_000059,viewMaterial,1.7066,2025-06-15 10:29:35.432599,2025-06-15,mobile,session_080318,9.0
user_000953,mat_004398,viewMaterial,1.5535,2025-06-09 10:29:35.438802,2025-06-09,mobile,session_022436,10.0
user_000301,mat_002070,purchase,10.7124,2025-07-12 10:29:35.441487,2025-07-12,tablet,session_022572,
user_000669,mat_004540,viewMaterial,1.8537,2025-04-25 10:29:35.446973,2025-04-25,desktop,session_028809,12.0
