material_id,subject,subcategory,grade_levels,material_type,school_type,content_type,is_bundle,price,author_category,bestseller_rating,total_pages,engagement_score,created_days_ago,author_id,title,grade_levels_str
mat_000001,Kunst,Epochen,['8. Klasse'],Fördermaterial/Inklusion,Sek II,interactive,0,4.15,Cub,7.708098373328053,5,1.4642794820033156,460,author_0314,Epochen - Fördermaterial/Inklusion,8. Klasse
mat_000002,Fachunterricht,Erdkunde,['11. Klasse'],Mal- und Bastelvorlagen,Förderunterricht,hybrid,0,5.35,Cub,204.41082627298476,8,1.7176297045257436,898,author_0340,Erdkunde - Mal- und Bastelvorlagen,11. Klasse
mat_000003,Kunst,Werken,['13. Klasse'],Spiele,Förderunterricht,interactive,1,24.3415073745326,Cub,36.70554479546143,77,1.0703628925580801,720,author_0749,Werken - Sparpaket,13. Klasse
mat_000004,Deutsch,Lesen,['12. Klasse'],Fördermaterial/Inklusion,Kita / Vorschule,standalone,1,7.766185411469429,Eggs,84.4948388743063,45,5.175237913415748,407,author_0574,Lesen - Sparpaket,12. Klasse
mat_000005,Kunst,Basteln,"['3. Klasse', '4. Klasse']",Präsentationen/Tafelbilder,Förderunterricht,hybrid,1,10.23654870874876,Eggs,2.0636876158321655,45,5.795810196689341,541,author_0036,Basteln - Sparpaket,"3. Klasse, 4. Klasse"
mat_000006,Englisch,Schreiben,"['9. Klasse', '10. Klasse', '11. Klasse', '12. Klasse']",Präsentationen/Tafelbilder,Berufsschule,hybrid,1,8.681466502084447,Cub,118.66563853316954,21,2.4880116392713965,710,author_0456,Schreiben - Sparpaket,"9. Klasse, 10. Klasse, 11. Klasse, 12. Klasse"
mat_000007,Mathematik,Funktionen,['8. Klasse'],Interaktives Material,Sek I Mittlere Schulform,hybrid,0,0.84,Eggs,14.645814952955424,9,7.776792649776251,385,author_0403,Funktionen - Interaktives Material,8. Klasse
mat_000008,Deutsch,Anfangsunterricht,"['6. Klasse', '7. Klasse']",Quiz,Förderunterricht,interactive,0,8.44,Cub,50.02518738658856,7,1.4934779286620241,955,author_0932,Anfangsunterricht - Quiz,"6. Klasse, 7. Klasse"
mat_000009,Englisch,Wortschatz,"['3. Klasse', '4. Klasse']",Merkblätter,Förderunterricht,standalone,0,7.36,Eggs,20.856621699758588,10,2.934822866011873,1061,author_0160,Wortschatz - Merkblätter,"3. Klasse, 4. Klasse"
mat_000010,Englisch,Grammatik,['3. Klasse'],Quiz,Sek I Mittlere Schulform,hybrid,0,2.6,Eggs,114.41152500887529,5,3.9696898232738884,338,author_0706,Grammatik - Quiz,3. Klasse
mat_000011,Englisch,Sprechen,['1. Klasse'],Merkblätter,Kita / Vorschule,hybrid,0,8.3,Dragon,53.590664408488124,9,7.797926922980369,798,author_0609,Sprechen - Merkblätter,1. Klasse
mat_000012,Kunst,Malen & Zeichnen,['13. Klasse'],Quiz,Sek I Mittlere Schulform,interactive,0,1.08,Dragon,68.86054185560701,9,2.7441477608910354,18,author_0793,Malen & Zeichnen - Quiz,13. Klasse
mat_000013,Deutsch,Schreiben,"['8. Klasse', '9. Klasse', '10. Klasse', '11. Klasse']",Unterrichtsreihen,Förderunterricht,hybrid,0,2.26,Cub,94.41455205654873,8,1.3225455742208045,36,author_0685,Schreiben - Unterrichtsreihen,"8. Klasse, 9. Klasse, 10. Klasse, 11. Klasse"
mat_000014,Kunst,Malen & Zeichnen,['12. Klasse'],Stundenentwürfe,Förderunterricht,interactive,0,5.11,Eggs,31.33034740910548,5,1.5757644260456312,1078,author_0444,Malen & Zeichnen - Stundenentwürfe,12. Klasse
mat_000015,Fachunterricht,Biologie,"['5. Klasse', '6. Klasse', '7. Klasse']",Test,Sek I Gymnasium,hybrid,0,30.3,Bear,64.74802814583421,8,4.814601939851552,1082,author_0634,Biologie - Test,"5. Klasse, 6. Klasse, 7. Klasse"
mat_000016,Mathematik,Geometrie,['6. Klasse'],Quiz,Kita / Vorschule,standalone,0,8.96,Innovators,66.95087024376132,7,2.757192278623936,432,author_0341,Geometrie - Quiz,6. Klasse
mat_000017,Kunst,Malen & Zeichnen,"['5. Klasse', '6. Klasse']",Test,Grundschule,hybrid,1,56.55054297454655,Dragon,15.115671081484797,78,3.954423204822754,1067,author_0556,Malen & Zeichnen - Sparpaket,"5. Klasse, 6. Klasse"
mat_000018,Deutsch,Anfangsunterricht,['3. Klasse'],Test,Kita / Vorschule,hybrid,0,3.61,Dragon,1.1773501590355755,10,5.659080657902792,978,author_0999,Anfangsunterricht - Test,3. Klasse
mat_000019,Fachunterricht,Erdkunde,"['7. Klasse', '8. Klasse']",Klassenarbeiten,Sek I Mittlere Schulform,standalone,0,7.3,Cub,34.31465524302811,7,3.6079596173589286,144,author_0885,Erdkunde - Klassenarbeiten,"7. Klasse, 8. Klasse"
mat_000020,Fachunterricht,Geschichte,"['4. Klasse', '5. Klasse']",Mal- und Bastelvorlagen,Sek II,standalone,0,5.55,Dragon,4.7818473270159725,7,4.517232635444629,170,author_0393,Geschichte - Mal- und Bastelvorlagen,"4. Klasse, 5. Klasse"
mat_000021,Deutsch,Sprache untersuchen,"['5. Klasse', '6. Klasse', '7. Klasse']",Fördermaterial/Inklusion,Sek II,hybrid,1,6.715893184092015,Cub,23.152763023765623,77,2.6120833150615015,1082,author_0660,Sprache untersuchen - Sparpaket,"5. Klasse, 6. Klasse, 7. Klasse"
mat_000022,Mathematik,Grundrechenarten,"['12. Klasse', '13. Klasse']",Videos,Kita / Vorschule,interactive,0,4.47,Eggs,37.57803781489296,11,2.2573676194856547,656,author_0471,Grundrechenarten - Videos,"12. Klasse, 13. Klasse"
mat_000023,Mathematik,Funktionen,['8. Klasse'],Stationenlernen,Sek I Gymnasium,standalone,0,2.87,Eggs,31.152929940204938,11,0.9544798892998784,877,author_0005,Funktionen - Stationenlernen,8. Klasse
mat_000024,Mathematik,Grundrechenarten,"['1. Klasse', '2. Klasse']",Mal- und Bastelvorlagen,Sek II,hybrid,0,19.4,Innovators,92.29566037168173,14,1.2668027934789037,717,author_0772,Grundrechenarten - Mal- und Bastelvorlagen,"1. Klasse, 2. Klasse"
mat_000025,Mathematik,Grundrechenarten,"['2. Klasse', '3. Klasse', '4. Klasse']",Bildkarten,Förderunterricht,interactive,0,4.0,Cub,73.99035404802575,8,5.292783683065992,435,author_0103,Grundrechenarten - Bildkarten,"2. Klasse, 3. Klasse, 4. Klasse"
mat_000026,Kunst,Theorie,['2. Klasse'],Unterrichtsreihen,Berufsschule,interactive,0,13.4,Innovators,21.405130721255585,13,7.153535630963219,111,author_0761,Theorie - Unterrichtsreihen,2. Klasse
mat_000027,Englisch,Schreiben,['8. Klasse'],Klassenarbeiten,Sek I Mittlere Schulform,interactive,0,1.41,Innovators,46.05704820546034,7,5.802629298287005,794,author_0249,Schreiben - Klassenarbeiten,8. Klasse
mat_000028,Mathematik,Funktionen,"['1. Klasse', '2. Klasse', '3. Klasse', '4. Klasse']",Experimente,Sek I Gymnasium,standalone,0,3.56,Bear,214.36126873305486,8,4.477155950331462,363,author_0751,Funktionen - Experimente,"1. Klasse, 2. Klasse, 3. Klasse, 4. Klasse"
mat_000029,Kunst,Epochen,"['6. Klasse', '7. Klasse', '8. Klasse']",Stundenentwürfe,Sek I Mittlere Schulform,interactive,0,2.39,Bear,10.06200211566316,8,2.6213533133692786,34,author_0623,Epochen - Stundenentwürfe,"6. Klasse, 7. Klasse, 8. Klasse"
mat_000030,Mathematik,Stochastik,['9. Klasse'],Präsentationen/Tafelbilder,Berufsschule,hybrid,0,25.49,Eggs,34.482435153647366,5,7.4413678547490205,350,author_0607,Stochastik - Präsentationen/Tafelbilder,9. Klasse
mat_000031,Mathematik,Funktionen,"['8. Klasse', '9. Klasse']",Präsentationen/Tafelbilder,Sek I Gymnasium,interactive,1,11.277580193944923,Bear,124.68462447604279,48,2.3401663768182175,836,author_0787,Funktionen - Sparpaket,"8. Klasse, 9. Klasse"
mat_000032,Mathematik,Stochastik,['10. Klasse'],Videos,Berufsschule,standalone,0,6.66,Innovators,19.330366363671633,9,14.094844994216297,318,author_0956,Stochastik - Videos,10. Klasse
mat_000033,Kunst,Theorie,['8. Klasse'],Mal- und Bastelvorlagen,Kita / Vorschule,hybrid,0,2.76,Eggs,67.5696576594311,7,4.942727617222221,132,author_0601,Theorie - Mal- und Bastelvorlagen,8. Klasse
mat_000034,Fachunterricht,Chemie,['8. Klasse'],Spiele,Förderunterricht,hybrid,1,25.651972792596332,Bear,38.802647518445035,49,0.22800443944389928,554,author_0448,Chemie - Sparpaket,8. Klasse
mat_000035,Mathematik,Stochastik,"['11. Klasse', '12. Klasse', '13. Klasse']",Merkblätter,Sek II,hybrid,0,14.1,Bear,75.3828761758652,8,13.217882385450109,47,author_0324,Stochastik - Merkblätter,"11. Klasse, 12. Klasse, 13. Klasse"
mat_000036,Kunst,Epochen,"['3. Klasse', '4. Klasse', '5. Klasse']",Stundenentwürfe,Sek I Gymnasium,hybrid,0,2.12,Cub,10.020063725826592,10,10.377041270675122,127,author_0106,Epochen - Stundenentwürfe,"3. Klasse, 4. Klasse, 5. Klasse"
mat_000037,Mathematik,Stochastik,['9. Klasse'],Stationenlernen,Sek I Mittlere Schulform,standalone,0,7.19,Dragon,120.77996241174014,6,1.28447304644617,969,author_0309,Stochastik - Stationenlernen,9. Klasse
mat_000038,Mathematik,Geometrie,"['5. Klasse', '6. Klasse', '7. Klasse']",Experimente,Kita / Vorschule,interactive,0,2.5,Cub,126.19627380765208,8,3.1951006954379975,63,author_0662,Geometrie - Experimente,"5. Klasse, 6. Klasse, 7. Klasse"
mat_000039,Deutsch,Sprechen & Zuhören,['1. Klasse'],Test,Kita / Vorschule,standalone,0,2.36,Innovators,34.877343282911305,7,2.9262965024145466,286,author_0144,Sprechen & Zuhören - Test,1. Klasse
mat_000040,Englisch,Wortschatz,['3. Klasse'],Interaktives Material,Grundschule,hybrid,0,2.85,Dragon,5.433938489562487,12,3.3997951282718564,761,author_0239,Wortschatz - Interaktives Material,3. Klasse
