user_id,primary_subject,primary_grades,primary_grades_str,secondary_subjects,secondary_subjects_str,school_type,price_sensitivity,engagement_style,experience_level,days_since_registration,avg_monthly_purchases,preferred_material_types
user_000001,Fachunterricht,['3. Klasse'],3. Klasse,['Deutsch'],Deutsch,Sek I Gymnasium,medium,power_user,novice,524,5,"['Videos', 'Merkblätter']"
user_000002,Kunst,"['7. Klasse', '8. Klasse']","7. Klasse, 8. Klasse",[],,Sek II,high,power_user,expert,220,8,"['Präsentationen/Tafelbilder', 'Videos', 'Merkblätter']"
user_000003,Deutsch,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",[],,Förderunterricht,medium,focused,experienced,700,6,"['Präsentationen/Tafelbilder', 'Arbeitsblätter', 'Klassenarbeiten', 'Experimente']"
user_000004,Englisch,['6. Klasse'],6. Klasse,[],,Förderunterricht,medium,power_user,experienced,342,4,"['Experimente', 'Mal- und Bastelvorlagen', 'Spiele', 'Fördermaterial/Inklusion']"
user_000005,Mathematik,"['5. Klasse', '6. Klasse']","5. Klasse, 6. Klasse",[],,Förderunterricht,high,focused,novice,178,3,"['Klassenarbeiten', 'Bildkarten']"
user_000006,Kunst,"['12. Klasse', '13. Klasse']","12. Klasse, 13. Klasse","['Deutsch', 'Mathematik']","Deutsch, Mathematik",Berufsschule,medium,browser,novice,138,4,"['Arbeitsblätter', 'Präsentationen/Tafelbilder', 'Mal- und Bastelvorlagen']"
user_000007,Fachunterricht,"['6. Klasse', '7. Klasse']","6. Klasse, 7. Klasse","['Deutsch', 'Kunst']","Deutsch, Kunst",Sek I Gymnasium,high,focused,novice,636,4,"['Experimente', 'Unterrichtsreihen', 'Fördermaterial/Inklusion']"
user_000008,Kunst,['3. Klasse'],3. Klasse,['Deutsch'],Deutsch,Grundschule,medium,browser,novice,408,4,"['Experimente', 'Videos', 'Klassenarbeiten', 'Test']"
user_000009,Deutsch,"['4. Klasse', '5. Klasse']","4. Klasse, 5. Klasse","['Englisch', 'Fachunterricht']","Englisch, Fachunterricht",Sek I Mittlere Schulform,medium,power_user,experienced,517,2,"['Arbeitsblätter', 'Test']"
user_000010,Englisch,"['5. Klasse', '6. Klasse', '7. Klasse']","5. Klasse, 6. Klasse, 7. Klasse",['Mathematik'],Mathematik,Sek I Gymnasium,medium,focused,expert,666,4,"['Präsentationen/Tafelbilder', 'Experimente', 'Spiele']"
user_000011,Mathematik,['10. Klasse'],10. Klasse,"['Deutsch', 'Fachunterricht']","Deutsch, Fachunterricht",Sek II,high,focused,experienced,244,3,"['Präsentationen/Tafelbilder', 'Merkblätter', 'Quiz', 'Interaktives Material']"
user_000012,Mathematik,"['11. Klasse', '12. Klasse']","11. Klasse, 12. Klasse","['Fachunterricht', 'Englisch']","Fachunterricht, Englisch",Kita / Vorschule,medium,browser,experienced,441,3,"['Videos', 'Test']"
