feature,importance
position_in_results,0.5344696
subject_match_primary,0.15975323
subject_match_secondary,0.07024931
material_author_Eggs,0.04509588
material_author_Cub,0.030661754
price_too_high_for_user,0.015979879
material_author_Bear,0.014936065
material_author_Innovators,0.013097643
grade_overlap_count,0.010392122
material_author_Dragon,0.008697597
user_engagement_browser,0.008076693
subject_no_match,0.005716465
material_type_preferred,0.005431192
high_quality_match,0.0049689705
beginner_friendly,0.0025837303
material_subject_Englisch,0.002350104
user_engagement_power_user,0.0021236232
price_premium_match,0.0019127218
price_affordable_for_user,0.0018957471
user_price_sensitivity_low,0.0018430521
simple_for_novice,0.0018313491
grade_perfect_match,0.0017558577
material_type_Experimente,0.0017203182
material_type_Spiele,0.0017002561
material_type_Bildkarten,0.0016865169
user_price_sensitivity_high,0.0015924249
material_type_Quiz,0.0014004698
material_subject_Deutsch,0.0013696852
material_type_Merkblätter,0.0013515978
material_created_days_ago,0.0013268226
user_primary_subject_Deutsch,0.0013168454
material_price_per_page,0.001309684
material_type_Stationenlernen,0.0012748458
material_subject_Fachunterricht,0.0012739968
user_experience_expert,0.001244285
material_content_interactive,0.0012001394
material_type_Klassenarbeiten,0.001198671
material_type_Videos,0.0011860438
user_days_since_registration,0.0011815641
user_primary_subject_Kunst,0.0011675452
material_bestseller_rating,0.0011581104
material_engagement_score,0.0011290166
material_subject_Kunst,0.0011275614
weekend_and_planning,0.001121655
device_desktop,0.0011202187
desktop_and_premium,0.001115289
material_total_pages,0.0010979507
material_type_Stundenentwürfe,0.001093813
interaction_day_of_week,0.0010902651
device_mobile,0.0010820233
user_avg_monthly_purchases,0.0010669654
material_type_Unterrichtsreihen,0.0010644654
material_price,0.0010550668
material_type_Präsentationen_Tafelbilder,0.0010212275
material_subject_Mathematik,0.0009935251
material_content_standalone,0.0009819923
user_engagement_focused,0.0009539205
material_is_bundle,0.0009121282
user_experience_experienced,0.0008888223
user_price_sensitivity_medium,0.0008627026
material_content_hybrid,0.0008604914
user_primary_subject_Mathematik,0.00084876857
material_type_Arbeitsblätter,0.0008425019
material_type_Interaktives_Material,0.0008424852
bundle_for_power_user,0.0008305439
mobile_and_bundle,0.0008069529
material_type_Mal-_und_Bastelvorlagen,0.00077010464
user_primary_subject_Englisch,0.0007355004
material_type_Fördermaterial_Inklusion,0.0007328693
material_is_fresh,0.0007206712
user_is_experienced,0.00071670185
user_primary_subject_Fachunterricht,0.0007094113
device_tablet,0.0006649314
material_type_Test,0.00065711956
position_first_page,0.0
position_top_3,0.0
user_is_veteran,0.0
user_tenure_months,0.0
material_is_established,0.0
user_is_active,0.0
material_age_at_interaction,0.0
interaction_is_school_hours,0.0
interaction_is_evening,0.0
interaction_is_weekend,0.0
interaction_hour,0.0
material_rating_score,0.0
material_is_recent,0.0
grade_no_match,0.0
grade_partial_match,0.0
user_experience_novice,0.0
user_is_new,0.0
material_is_premium,0.0
