id,title,position,short_title,world
1,1. Klasse,1,1,de
2,2. Klasse,2,2,de
3,3. Klasse,3,3,de
4,4. Klasse,4,4,de
5,5. Klasse,5,5,de
6,6. Klasse,6,6,de
7,7. Klasse,7,7,de
8,8. Klasse,8,8,de
9,9. Klasse,9,9,de
10,10. Klasse,10,10,de
11,EF (10./11. Jhg.),11,11,de
12,Q1 (11./12. Jhg.),12,12,de
13,Q2 (12./13. Jhg.),13,13,de
16,Für Lehrer*innen/Kollegium,20,Allgemeines,de
17,Vorschule,0,Vorschule,de
18,Erwachsenenbildung,21,Erwachsenenbildung,de
19,BS: AVJ,14,BS: AVJ,de
20,BS: BFS I,15,BS: BFS I,de
21,BS: BFS II,16,BS: BFS II,de
22,BS: Lehrjahr 1,17,BS: Lehrjahr 1,de
23,BS: Lehrjahr 2,18,BS: Lehrjahr 2,de
24,BS: Lehrjahr 3,19,BS: Lehrjahr 3,de
