id,title,position,tooltip,world
1,Arbeitsblätter,2,Arbeitsblätter zum Ausfüllen oder mit Arbeitsaufträgen,de
2,Unterrichtsreihen,1,Planung und Materialien für mehr als eine (Doppel)Stunde.,de
3,Stundenentwürfe,0,"Enthält alles (Planung, Materialien, etc.) was man für eine (Doppel)Stunde braucht. Keine reinen Arbeitsblätter, Bildkarten etc.",de
4,Merkblätter,7,Merkblätter / Erklärungen / Checklisten  für SchülerInnen,de
5,Anderer Materialtyp,20,"Diesen Filter NUR nehmen, wenn das Material in KEINE der anderen Kategorien reinpasst.",de
6,Präsentationen/Tafelbilder,6,"Powerpoints, Animationen und andere Materialien, die dafür gedacht sind, dass Lehrkräfte diese direkt im Unterricht als Präsentation einsetzen.",de
8,Stationenlernen,2,Materialen für das selbstorganisierte Lernen / Lernwerkstatt / Lerntheke / Lernzirkel,de
9,Test,9,Test für die Schüler*innen,de
10,Spiele,2,"Materialien mit einem spielerischen Element – z.B. Rätsel, Quizze, Memorys, Dominos, etc.",de
11,Poster,5,Poster für den Klassenraum,de
13,Klassenarbeiten,10,"Hier nur Materialien einordnen, die sich vom Umfang (1 Klassenstunde & mehr) und der formalen Struktur (Name, Klasse, etc.) als Klassenarbeit eignen. Kürzere Leistungsüberprüfungen unter „Tests“ einordnen.",de
15,Experimente,4,Beschreibungen von Experimenten oder Anleitungen zur Durchführung von Experimenten,de
16,Mal- und Bastelvorlagen,2,"Mandalas, Bastelanleitungen, Ausmalbilder...",de
18,Bildkarten,8,"Bildkarten, Flashcards",de
19,Fördermaterial/Inklusion,3,"Material, dass sich besonders gut für den Förderunterricht, die Arbeit in inklusiven Klassen oder die Arbeit an Förderschulen eignet",de
20,Lehrwerke/Schulbücher,11,In einem Lehrwerk werden mehrere Unterrichtsreihen gebündelt. Dadurch bedingt hat es regelmäßig einen Umfang von über 40 Seiten.,de
23,Videos,12,"Materialien, die Videos beinhalten oder zu (verlinkten) Videos passen",de
26,selbst erstellte Cliparts/Grafiken,13,Hier bitte nur Cliparts oder Fotos einsortieren,de
127,Lehrpläne/Lehrermaterial,14,"Rahmenlehrpläne,  schulinterne Curricula sowie Materialien für die Hand der/des Lehrerin/Lehrers",de
129,Audio-Dateien,15,"Wenn dein Material Audio-Dateien enthält, bitte auswählen.",de
132,Aufgabenkarten,16,"Wenn dein Material Aufgaben-Karten (nicht Arbeitsblätter) enthält, bitte auswählen.",de
133,Text,17,"Wenn dein Material einen oder mehrere Texte zur Bearbeitung enthält, bitte hier auswählen.",de
134,Interaktives Material,18,Interaktive Dateien jeglicher Art (interaktive PDFs usw.),de
135,selbst erstellte Schriftarten,19,Verschiedene Schriftarten für die Materialerstellung.,de
353,Quiz,21,Interaktive Quizformate,de
402,Prüfungsvorbereitung,22,Materialien rund um Vorbereitung von Prüfungen.,de
