bucket,query,frequency
no-intent,kostenlos,1308041
no-intent,adventskalender,930666
no-intent,sankt martin,773998
no-intent,st martin,569156
no-intent,märchen,520935
no-intent,advent,446860
no-intent,nikolaus,400310
no-intent,igel,393220
no-intent,nomen,356047
no-intent,daz,343324
no-intent,kinderrechte,324545
no-intent,wald,291784
no-intent,wetter,287497
no-intent,adjektive,270949
no-intent,kostenlose materialien,268894
no-intent,herbstferien,268522
no-intent,wörtliche rede,257914
no-intent,freebie,242100
no-intent,wichtel,241752
no-intent,gratis,241201
category,weihnachten,2096627
category,weihnachten basteln,824879
category,herbst,784285
category,kunst,681488
category,halloween,612653
category,winter,594938
category,wortarten,503564
category,musik,453596
category,lesen,403263
category,sport,383237
category,gefühle,349338
category,personenbeschreibung,346652
category,verben,326810
category,englisch,305023
category,satzglieder,304857
category,tiere im winter,272301
category,deutsch,269280
category,daz/daf,238253
category,kunst herbst,233144
category,einmaleins,218908
grade_level,vorschule,225599
grade_level,klasse 1,55709
grade_level,1. klasse,34425
grade_level,erwachsenenbildung,33806
grade_level,klasse 2,14426
grade_level,vorschule ,11488
grade_level,2. klasse,9373
grade_level,klasse 4,8548
grade_level,klasse 3,8496
grade_level,4. klasse,7437
grade_level,3. klasse,5031
grade_level,1. klasse ,4587
grade_level,Vorschule,3570
grade_level,Klasse 1,3429
grade_level,klasse 5,3182
grade_level,1. Klasse,2118
grade_level,Klasse 2,1763
grade_level,klasse 1 ,1701
grade_level, klasse 4,1620
grade_level,Klasse 3,1251
material_type,bildkarten,55354
material_type,spiele,49724
material_type,poster,9485
material_type,quiz,8168
material_type,stationenlernen,6302
material_type,spiele ,5985
material_type,test,5243
material_type,Spiele,2344
material_type,bildkarten ,2253
material_type,arbeitsblätter,2193
material_type,text,2039
material_type,test ,1695
material_type,klassenarbeiten,1623
material_type,prüfungsvorbereitung,1597
material_type,Bildkarten,1375
material_type,bildkarten o,1080
material_type,bildkarten m,936
material_type,bildkarten i,900
material_type,to be poster,837
material_type,bildkarten l,792
combination,verliebte zahlen,401008
combination,kunst klasse 1,294538
combination,sankt martin klasse 1,228833
combination,rituale regeln,216783
combination,weihnachten klasse 1,213313
combination,geometrische körper,198562
combination,kunst klasse 2,196240
combination,igel klasse 1,176136
combination,kunst klasse 4,174850
combination,musik klasse 1,174160
combination,kunst klasse 3,173268
combination,verliebte zahlen klasse 1,171152
combination,weihnachten in anderen ländern,162086
combination,lesen klasse 1,145291
combination,zahlenstrahl 100,144221
combination,verkehrserziehung klasse 1,140563
combination,musik klasse 2,137384
combination,fensterdeko winter,133983
combination,halloween grundschule,131070
combination,st martin klasse 1,127649
